ID;Tag;Start;Dauer;Avg. HR;RMSSD;SDNN;pNN50;RRmin;RRmean;RRmax;LF;HF;LF/HF;Total
190;10.03.16;05:35:08;0:10:06.873000;44.74740092;138.82;157.96;39.22;942;1340.86;1823;2796.97;6574.23;0.43;9793.44
191;09.03.16;05:33:55;0:10:44.627000;50.68252467;90.38;116.1;28.44;991;1183.84;1793;1691.6;2190.34;0.77;4008.95
192;08.03.16;05:32:01;0:11:28.432000;46.47200062;107.11;120.91;36.83;1026;1291.1;1691;1405.32;2907.86;0.48;4431.72
193;07.03.16;05:16:25;0:10:03.493000;43.62557622;124.52;148.57;38.62;1049;1375.34;1756;2257.16;4051.16;0.56;6535
194;06.03.16;05:53:16;0:10:29.806000;45.79069075;130.5;151.49;37.63;1016;1310.31;1736;2786.91;4557.09;0.61;7598.4
195;05.03.16;06:24:37;0:11:47.220000;51.66846071;79.14;88;28.5;924;1161.25;1431;1089.02;1843.28;0.59;3191.19
196;04.03.16;05:16:00;0:10:29.460000;50.57572028;100.91;114;31.33;910;1186.34;1745;1783.69;2615.89;0.68;4468.71
197;03.03.16;05:32:32;0:10:22.151000;49.43764677;106.86;158.15;30.65;750;1213.65;1771;3470.32;3716.32;0.93;8025.43
198;02.03.16;05:15:20;0:11:09.235000;46.92008727;116.01;117.04;38.74;984;1278.77;1633;1429.3;4311.89;0.33;5878.71
199;01.03.16;05:31:49;0:10:09.012000;46.37501932;138.54;170.71;36.5;985;1293.8;1790;5748.13;6211.19;0.93;12291.72
200;29.02.16;05:33:43;0:10:01.664000;49.95961598;89.48;100.79;31.44;983;1200.97;1555;2060.57;2741.63;0.75;5031.75
201;28.02.16;06:03:08;0:10:13.773000;50.90051494;89.87;133.49;28.96;692;1178.77;1540;2894.88;1884.28;1.54;5273.9
202;27.02.16;05:48:05;0:10:25.994000;49.59497438;105.64;128.86;33.67;700;1209.8;1763;2486.52;3031.48;0.82;5830.33
203;26.02.16;05:20:04;0:10:02.147000;52.33957919;89.57;125.44;25.76;806;1146.36;1633;2315.14;2048.22;1.13;4387.65
204;25.02.16;05:31:09;0:10:13.960000;52.48150027;79.6;111.56;23.27;881;1143.26;1597;3173.2;2206.67;1.44;5589.06
205;24.02.16;05:31:18;0:10:01.347000;50.93724531;85.95;113.24;26.27;854;1177.92;1631;3093.98;2642.96;1.17;6135.22
206;23.02.16;05:31:09;0:10:38.162000;47.63227881;90.8;108.47;33.33;938;1259.65;1600;2048.59;2548.11;0.8;4803.25
207;22.02.16;05:23:00;0:10:01.191000;45.16745835;124.61;116.15;38.32;1106;1328.39;1807;2079.6;4645.79;0.45;6935.29
208;21.02.16;06:10:08;0:11:07.324000;42.74691688;133.48;103.66;42.37;1191;1403.61;1777;734.28;3858.99;0.19;4703.45
209;20.02.16;06:15:03;0:10:43.728000;47.71068242;104.67;163.08;31.61;726;1257.58;1644;2102.22;3310.05;0.64;5876.97
210;19.02.16;05:18:39;0:10:40.995000;43.32036129;147.52;116.52;37.64;1120;1385.03;1733;2063.7;5159.83;0.4;7371.49
211;18.02.16;05:33:01;0:10:11.982000;42.83205551;177.62;142.68;41.9;994;1400.82;1822;6873.26;7882.26;0.87;15147.38
212;17.02.16;05:31:11;0:10:15.786000;45.50591198;164.61;157.84;41.33;983;1318.51;1920;4195.38;7131.39;0.59;11982.81
